code,label,slug,restaurant_name,objectID
TYC_1156,Market Cuisine,market-cuisine,Colmado 1917,73623
TYC_1084,Mexican,mexican,COME by Paco Méndez,73622
TYC_1161,Fusion,fusion-1161,COME by Paco Méndez,73622
TYC_1085,Modern Cuisine,modern-cuisine,Bichopalo,73621
TYC_1085,Modern Cuisine,modern-cuisine,Boubou's,73620
TYC_1065,International,international,Boubou's,73620
TYC_1036,Creative,creative,Santa Mariana,73619
TYC_1084,Mexican,mexican,Q78,73618
TYC_1096,Seafood,seafood-1096,Veiramar Arcade,73617
TYC_6,Contemporary,contemporary,Curioso,73616
TYC_1122,Traditional Cuisine,traditional-cuisine,Hamarratz,73615
TYC_1085,Modern Cuisine,modern-cuisine,Los 12 de Al Margen,73614
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Mar Mía,73613
TYC_6,Contemporary,contemporary,Amar Barcelona,73612
TYC_1027,Catalan,catalan,Amar Barcelona,73612
TYC_1036,Creative,creative,Xanglot,73611
TYC_1036,Creative,creative,À Mesa,73610
TYC_1122,Traditional Cuisine,traditional-cuisine,À Mesa,73610
TYC_1096,Seafood,seafood-1096,Villa de Oro,73609
TYC_1122,Traditional Cuisine,traditional-cuisine,Alcotán,73608
TYC_6,Contemporary,contemporary,Sinofos,73607
TYC_1161,Fusion,fusion-1161,acebuche,73606
TYC_1068,Japanese,japanese,Nko Eneko,73605
TYC_1036,Creative,creative,Tobiko,73604
TYC_1096,Seafood,seafood-1096,Avanico El Puerto,73603
TYC_6,Contemporary,contemporary,Teatro kitchen & bar,73602
TYC_1004,Andalusian,andalusian,La Cosmo,73601
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Compartir Barcelona,73600
TYC_1085,Modern Cuisine,modern-cuisine,Seeds,73599
TYC_814,Italian Contemporary,italian-contemporary,Casa Bernardi,73598
TYC_1122,Traditional Cuisine,traditional-cuisine,La Bonaigua,73597
TYC_1027,Catalan,catalan,La Bonaigua,73597
TYC_1059,Indian,indian,Namak,73596
TYC_1122,Traditional Cuisine,traditional-cuisine,Mena,73595
TYC_1085,Modern Cuisine,modern-cuisine,La Xarxa,73594
TYC_1142,Rice Dishes,rice-dishes,La Xarxa,73594
TYC_6,Contemporary,contemporary,Distrikt41,73593
TYC_1027,Catalan,catalan,Les Voltes de Sant Sebastià,73592
TYC_1031,Classic Cuisine,classic-cuisine,Palm Court,73591
TYC_1065,International,international,Gruta,73590
TYC_1161,Fusion,fusion-1161,Sisapo,73589
TYC_1161,Fusion,fusion-1161,Ugo Chan,73588
TYC_1122,Traditional Cuisine,traditional-cuisine,A Velha,73587
TYC_1085,Modern Cuisine,modern-cuisine,Rio by Paulo André,73586
TYC_6,Contemporary,contemporary,Ivantxu Espacio Bistronómico,73585
TYC_1099,Portuguese,portuguese,Grand Salon,73584
TYC_1156,Market Cuisine,market-cuisine,Comparte Bistró,73583
TYC_1068,Japanese,japanese,Kyoshi Las Cortes,73582
TYC_6,Contemporary,contemporary,Sabores,73581
TYC_1036,Creative,creative,Cocina Cabal,73580
TYC_1065,International,international,34,73579
TYC_1049,French,french,Les Amis,73578
